time   x    y    orientation    linear_velocity    angular_velocity    command_velocity command_angle
98.0 21.6045669945 5.44954960865 -0.866007711713 0.360496539943 -0.715342506332 12.0 -0.40000000596
98.078 21.6295548572 5.41844342048 -0.917035586855 0.330393221549 -0.674790831775 12.0 -0.40000000596
98.18 21.6632920098 5.37060169802 -0.989609135537 0.29962908174 -0.622740435848 12.0 -0.40000000596
98.283 21.6950025615 5.31753856993 -1.05100723929 0.296606964577 -0.466825106187 12.0 -0.300000011921
98.357 21.7166662621 5.27743256621 -1.08656427918 0.292670990813 -0.486474458825 12.0 -0.20000000298
98.472 21.7468119694 5.215521948 -1.13590661623 0.246242903402 -0.349073700925 12.0 -0.20000000298
98.559 21.7681766271 5.16727649663 -1.16656696204 0.223578601327 -0.398235485623 12.0 -0.20000000298
98.676 21.7930220677 5.10602206674 -1.20073912828 0.217868937811 -0.191761568133 12.0 -0.10000000149
98.784 21.8158714686 5.0442898854 -1.22730251852 0.202351543416 -0.213450469361 12.0 -0.10000000149
98.863 21.8316899442 4.99884026613 -1.24409979803 0.19310773991 -0.19888243939 12.0 -2.77555756156e-17
98.976 21.8525571214 4.93547980919 -1.26038382656 0.183458557357 -0.122216074673 12.0 -2.77555756156e-17
99.094 21.873937227 4.86723987874 -1.27342513318 0.176135309796 -0.0971174751905 12.0 -2.77555756156e-17
99.169 21.887340016 4.82294403726 -1.28033581203 0.172209021255 -0.0834067722718 12.0 -2.77555756156e-17
99.275 21.9046646434 4.76413747215 -1.28798092796 0.167719492704 -0.0676262481248 12.0 -2.77555756156e-17
99.388 21.9225662189 4.70174652887 -1.2945336426 0.163978376254 -0.0545540008266 12.0 -2.77555756156e-17
99.51 21.9413839352 4.63463253619 -1.30016398252 0.160681545708 -0.0431540136037 12.0 -2.77555756156e-17
99.585 21.9554337606 4.58368886506 -1.30357694434 0.158697395889 -0.0362245443949 12.0 -2.77555756156e-17
99.665 21.9680670546 4.53734913059 -1.30625576435 0.157188650325 -0.0308297413727 12.0 -2.77555756156e-17
99.778 21.9857146632 4.47185720048 -1.30945716424 0.155411731253 -0.00691851023601 12.0 -2.77555756156e-17
99.899 22.0042549523 4.40226050623 -1.31189217144 0.15372018105 -0.0258486664064 12.0 -2.77555756156e-17
99.981 22.0168295558 4.35468469635 -1.31326282901 0.153078551615 -0.000862265268184 12.0 -2.77555756156e-17
100.064 22.0296467374 4.30593531207 -1.31455238088 0.152488113639 -0.00187310759049 12.0 -2.77555756156e-17
